co2_ppm,humidity_pct,light_lux,nh3_ko,oxidised_ko,pm10_ugm3,pm1_uhm3,pm25_ugm3,pressure_inhg,reduced_ko,temperature_f,timestamp
991.0,26.19711528528064,36.75515,133.24731182795702,26.642964950528253,3.0,0.0,3.0,25.191431317754603,339.5056179775281,85.81192246466657,2026-03-30T16:21:47.659342
991.0,26.154702818077727,39.2633,133.28365661609377,26.656826568265682,4.0,1.0,4.0,25.191577014075452,340.1414790996785,86.0382930934617,2026-03-30T16:21:52.904029
991.0,26.14841224066297,40.2407,133.57491825351033,26.67762771579566,3.0,0.0,3.0,25.190993652150453,340.46017699115055,86.235451761098,2026-03-30T16:21:58.129597
994.0,26.11827996811473,32.47665,134.23354564755837,26.760937106390127,4.0,0.0,3.0,25.191522580886872,341.41935483870975,86.10765594455782,2026-03-30T16:22:03.366878
992.0,26.13039473798989,37.36365,134.19683519876494,26.747040550751407,5.0,1.0,4.0,25.191538916700168,341.57966922146034,86.0103152298285,2026-03-30T16:22:08.602372
994.0,26.142531908358812,35.03995,134.05013497878903,26.733148661126503,4.0,0.0,3.0,25.19106991622596,340.779388083736,86.07132301995395,2026-03-30T16:22:13.834088
993.0,26.2282393095551,41.8266,133.9036608863198,26.71926143516576,6.0,1.0,5.0,25.190825905693046,340.30076397265793,85.88305250229814,2026-03-30T16:22:19.067690
993.0,26.24591211908084,38.10145,133.86707763436715,26.71926143516576,5.0,1.0,5.0,25.190928440647806,339.9823222177582,85.7169614730808,2026-03-30T16:22:24.309565
993.0,26.179543621014435,39.0237,134.16013891568588,26.77483833039389,4.0,1.0,4.0,25.190615176181396,341.57966922146034,85.77527876751824,2026-03-30T16:22:29.559312
993.0,26.185230245212235,42.50925,134.3437620702974,26.816570036131424,4.0,1.0,3.0,25.191213427086243,342.54427820460995,86.14874821259093,2026-03-30T16:22:34.758957
990.0,26.166451963822258,42.50925,134.41731066460588,26.858343841950393,2.0,0.0,2.0,25.190699970684783,343.0283400809718,85.88293679696514,2026-03-30T16:22:40.015714
988.0,26.135567718916015,42.50925,134.6751789514413,26.872277810476746,3.0,0.0,2.0,25.190111594471954,341.90068631408974,85.60659486283116,2026-03-30T16:22:45.274577
987.0,26.123475285195674,44.6485,135.26722297690668,26.93503870750589,4.0,1.0,3.0,25.191221949586772,342.54427820460995,85.80932959364833,2026-03-30T16:22:50.483775
988.0,26.141665126969144,41.53185,135.304347826087,26.928060580563734,4.0,1.0,2.0,25.190306736465313,342.22222222222234,85.86207989331862,2026-03-30T16:22:55.703741
